"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SRGAP3",1.94075188329625e-82,1.37762078281335,0.464,0.243,4.68012316656891e-78,"3","SRGAP3"
"EPB411",3.46364671782283e-82,1.44581283719751,0.425,0.216,8.35258406002976e-78,"3","EPB41"
"AC068587.4",3.62145003426074e-82,1.14100151453385,0.288,0.104,8.73312675761979e-78,"3","AC068587.4"
"FAM106A",4.97083794907932e-82,1.26044581552165,0.296,0.109,1.19871757142048e-77,"3","FAM106A"
"RTN1",2.87640714081929e-80,1.25218223229544,0.457,0.238,6.93645582008572e-76,"3","RTN1"
"CAMTA11",5.62976348127763e-80,1.29777909312054,0.466,0.253,1.3576174635101e-75,"3","CAMTA1"
"LSAMP",2.24583589059119e-75,0.914881045702004,0.772,0.594,5.41583325016065e-71,"3","LSAMP"
"RNF144A",3.85687628288604e-74,1.31460593607679,0.388,0.192,9.30085715617969e-70,"3","RNF144A"
"TCF4",2.72905514928183e-71,1.3123462941501,0.559,0.405,6.58111649249313e-67,"3","TCF4"
"LRCH1",2.84552222777923e-70,1.19840871441696,0.3,0.124,6.86197685228963e-66,"3","LRCH1"
"FUT8",4.38984924246646e-68,1.24893361290892,0.371,0.179,1.05861214482079e-63,"3","FUT8"
"CLASP2",2.69230013189579e-66,1.21943521841706,0.569,0.411,6.49248176806669e-62,"3","CLASP2"
"LIMCH1",4.15428498590023e-66,1.00574493507445,0.274,0.106,1.00180582434984e-61,"3","LIMCH1"
"TMTC2",1.00843482519618e-64,0.97177835825769,0.274,0.107,2.43184058096059e-60,"3","TMTC2"
"AKAP6",2.72244817469945e-63,1.1359398227019,0.445,0.251,6.56518377328773e-59,"3","AKAP6"
"PDE4DIP",2.7771155307267e-63,1.14915695855875,0.56,0.397,6.69701410234744e-59,"3","PDE4DIP"
"ERC11",2.5176733010908e-61,1.1127589749134,0.58,0.441,6.07136916558047e-57,"3","ERC1"
"C2CD5",4.91362096713908e-61,1.24262566193413,0.325,0.152,1.18491969622559e-56,"3","C2CD5"
