"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TNIK.2",1.10707257297382e-09,-2.33046507688285,0.062,0.35,3.09360359791805e-05,"4","TNIK"
"MCOLN2",1.44403771410097e-09,0.449696695683591,0.385,0.136,4.03521898828375e-05,"4","MCOLN2"
"KATNAL1",1.54334800380932e-09,0.633645831922835,0.312,0.104,4.31273166184476e-05,"4","KATNAL1"
"RASA3.2",1.56023535632121e-09,-2.27072760877338,0.052,0.341,4.35992167970398e-05,"4","RASA3"
"UBE3A",1.66486361452053e-09,0.41036952490897,0.417,0.151,4.65229488441618e-05,"4","UBE3A"
"ANO6",1.93686221145283e-09,0.565887011290723,0.365,0.129,5.41236776368379e-05,"4","ANO6"
"AC087286.2",2.0595649871356e-09,0.528060722892289,0.281,0.088,5.75524840005173e-05,"4","AC087286.2"
"MRTFA",2.26697907867652e-09,0.57416998872392,0.531,0.219,6.33484633745367e-05,"4","MRTFA"
"CGGBP1",2.38521523850774e-09,0.477476473922688,0.365,0.128,6.66524546248602e-05,"4","CGGBP1"
"IARS",3.30925844928778e-09,0.557430280630858,0.25,0.076,9.24739181068977e-05,"4","IARS"
"ZHX2.2",3.75459344112262e-09,0.480693289764948,0.646,0.268,0.000104918359118731,"4","ZHX2"
"ITK.3",4.63500028590244e-09,-2.2123502767127,0.042,0.325,0.000129520447989258,"4","ITK"
"MBNL1",4.64772203947341e-09,-0.366344641029246,0.906,0.831,0.000129875944671045,"4","MBNL1"
"RIC1",5.18250546145028e-09,0.437526748269376,0.344,0.12,0.000144819932614767,"4","RIC1"
"ESR2",5.57172143938144e-09,0.45750636385078,0.354,0.125,0.000155696183902075,"4","ESR2"
"CLTC",5.73893543059848e-09,0.627324032308331,0.333,0.117,0.000160368811672644,"4","CLTC"
"MAP3K5.3",5.81285161655891e-09,-2.01016047906712,0.052,0.336,0.000162434325573122,"4","MAP3K5"
"ZNF721",5.94467769614613e-09,0.747790149791066,0.312,0.11,0.000166118073541107,"4","ZNF721"
"INPP4A.2",6.06907460668756e-09,-2.15966204211561,0.062,0.335,0.000169594220809277,"4","INPP4A"
"SEC22A",6.13033949898076e-09,0.552054848443449,0.26,0.082,0.000171306206959518,"4","SEC22A"
"SNHG14.1",6.16368227213655e-09,0.499517573387338,0.594,0.249,0.000172237937412584,"4","SNHG14"
"NUP88",6.31638132859086e-09,0.544880299653601,0.26,0.082,0.000176504959846143,"4","NUP88"
"RB1.1",8.82928911668136e-09,0.663594505429635,0.438,0.177,0.000246725655076544,"4","RB1"
"POLA1",9.14952413972288e-09,0.625886516943822,0.271,0.089,0.000255674302560416,"4","POLA1"
"PARN",9.88701520745458e-09,0.464089941561225,0.333,0.117,0.000276282752957111,"4","PARN"
"MACF1.2",1.01343798860923e-08,-1.30447365360635,0.375,0.541,0.000283195111536963,"4","MACF1"
"LDLRAD4.4",1.04798924939674e-08,-2.18801903614301,0.062,0.33,0.000292850115851426,"4","LDLRAD4"
"EEA1",1.06178867661092e-08,0.688306201364974,0.281,0.096,0.000296706227792154,"4","EEA1"
"AC092821.3",1.06705760584066e-08,0.592271169856951,0.323,0.114,0.000298178577376115,"4","AC092821.3"
"PHKB",1.75588723033133e-08,0.706629686157862,0.396,0.16,0.000490665127643788,"4","PHKB"
"DENND4A.2",2.0673031153949e-08,0.519343745007783,0.698,0.311,0.000577687182565951,"4","DENND4A"
"RBMS1.2",2.20488941067586e-08,-2.16680911996275,0.052,0.312,0.000616134296919261,"4","RBMS1"
"SP140.2",2.22522046817392e-08,0.518027252598649,0.562,0.244,0.00062181560762652,"4","SP140"
"CAPN7",2.64731817736212e-08,0.463140128786374,0.302,0.105,0.00073976659148207,"4","CAPN7"
"LYST.4",2.88608450207801e-08,-2.15253957408723,0.052,0.308,0.000806487453260678,"4","LYST"
"MYCBP2-AS1",2.92190229845714e-08,0.446853880871489,0.25,0.08,0.000816496378280862,"4","MYCBP2-AS1"
"TMEM123",3.1822597646414e-08,0.55190323111704,0.26,0.086,0.000889250668631392,"4","TMEM123"
"PPFIA1",3.27604867229112e-08,0.578986583379914,0.292,0.102,0.000915459040985031,"4","PPFIA1"
"PRIM2",3.32929886819434e-08,0.469411430970238,0.365,0.137,0.000930339275728225,"4","PRIM2"
"MYO1F.4",3.42159734164063e-08,-2.08085556227991,0.042,0.299,0.000956131161148057,"4","MYO1F"
"NSRP1",3.91893696452975e-08,0.500546745448078,0.281,0.096,0.00109510774536819,"4","NSRP1"
"SGO1-AS1",4.57856092020073e-08,0.494523477160655,0.25,0.082,0.00127943306354089,"4","SGO1-AS1"
"ZFP36L2.2",4.78327828860979e-08,-2.29627726265693,0.021,0.267,0.00133663928496912,"4","ZFP36L2"
"HECTD4",4.79341829883457e-08,0.409042167162569,0.385,0.148,0.00133947280942633,"4","HECTD4"
"PVT1.4",4.82271633863209e-08,0.500464816063119,0.583,0.255,0.00134765985366735,"4","PVT1"
"ADNP",5.67708748637717e-08,0.46379144336466,0.417,0.167,0.00158640532719324,"4","ADNP"
"ST3GAL3",6.01621147308195e-08,0.285658673627889,0.271,0.091,0.00168117013403802,"4","ST3GAL3"
"CTCF",6.02208117701522e-08,0.611222758554607,0.271,0.094,0.00168281036410513,"4","CTCF"
"MT-CO3",6.10009035937205e-08,0.599093999386253,0.51,0.224,0.00170460925002293,"4","MT-CO3"
"PIKFYVE",6.12335206805471e-08,0.378095614036807,0.354,0.133,0.00171110950189721,"4","PIKFYVE"
"CAMK4.4",6.31607556432667e-08,-1.78522063791958,0.167,0.399,0.00176496415569545,"4","CAMK4"
"TCHP",6.9473486798047e-08,0.43770693584319,0.281,0.098,0.00194136711508463,"4","TCHP"
"ZNF654",7.38781586961826e-08,0.502845917229036,0.312,0.114,0.00206445126660613,"4","ZNF654"
"FAF1",9.54377470505082e-08,0.475058982983913,0.688,0.318,0.0026669124035794,"4","FAF1"
"RABEP1.1",1.2343727190503e-07,0.411650218274618,0.385,0.152,0.00344933112611415,"4","RABEP1"
"CLEC16A",1.26938036097515e-07,0.462610172473225,0.344,0.132,0.00354715648070896,"4","CLEC16A"
"RHBDD1",1.31543684437632e-07,0.512498960305023,0.292,0.106,0.00367585671792518,"4","RHBDD1"
"RHOH.1",1.52973393083945e-07,0.510429169792488,0.615,0.286,0.00427468849633777,"4","RHOH"
"SLC39A11",1.72562609289476e-07,0.368081949611717,0.448,0.184,0.00482208955398512,"4","SLC39A11"
"SPOPL",1.74823101670796e-07,0.442611093165527,0.25,0.085,0.00488525675308874,"4","SPOPL"
"N4BP2L2.1",1.76511302454604e-07,-1.6171088728917,0.146,0.377,0.00493243183579144,"4","N4BP2L2"
"CAMK2D.1",1.76652473335189e-07,0.574613299600515,0.656,0.324,0.00493637671487852,"4","CAMK2D"
"ZFAND6.1",1.94634787629925e-07,0.436338289654688,0.458,0.194,0.00543887450553062,"4","ZFAND6"
"RBL1",2.2006853251567e-07,0.46348271680938,0.25,0.087,0.0061495950726179,"4","RBL1"
"TC2N.4",2.20160252584609e-07,-2.00184119053561,0.031,0.267,0.00615215809822431,"4","TC2N"
"CCM2",2.21251479026406e-07,0.523308873796767,0.469,0.206,0.0061826513299139,"4","CCM2"
"TBC1D14",2.2205783146997e-07,0.474887904558707,0.292,0.108,0.00620518404259684,"4","TBC1D14"
"TXNIP.3",2.22792038615545e-07,-2.03943033740204,0.042,0.274,0.0062257007270728,"4","TXNIP"
"SUZ12",2.24927291608921e-07,0.380041624722038,0.312,0.117,0.00628536823671969,"4","SUZ12"
"RAB3GAP1",2.58032732147692e-07,0.500662463829339,0.354,0.142,0.00721046666713511,"4","RAB3GAP1"
"AC104365.1",3.62798247252531e-07,0.356019548030265,0.26,0.092,0.0101380342212247,"4","AC104365.1"
"AFTPH",3.7544112641965e-07,0.491351604958801,0.302,0.115,0.0104913268366707,"4","AFTPH"
"GRAP2.3",3.80690108631233e-07,-2.07031613556665,0.031,0.255,0.0106380043955912,"4","GRAP2"
"SRSF4",3.80799969627638e-07,0.319110173035856,0.375,0.151,0.0106410743512747,"4","SRSF4"
"SFMBT2.4",3.87347344808768e-07,-1.64864511807995,0.208,0.406,0.0108240342033362,"4","SFMBT2"
"MAP3K2",3.90448660412515e-07,0.444563968239371,0.385,0.159,0.0109106973665673,"4","MAP3K2"
"LINC01004",4.0058073246066e-07,0.493343345514925,0.292,0.11,0.0111938279878807,"4","LINC01004"
"BRWD1",4.05821526434467e-07,0.445004298069983,0.583,0.271,0.0113402767346847,"4","BRWD1"
"SORL1.2",4.22469341741907e-07,0.39612306974939,0.531,0.234,0.0118054832856359,"4","SORL1"
"ARHGEF3.2",4.25903214666286e-07,-1.87425498358635,0.073,0.301,0.0119014394306347,"4","ARHGEF3"
"PAM.2",4.58876196033123e-07,-1.89561851686932,0.042,0.272,0.0128228364219496,"4","PAM"
"EDEM1",4.61010339222949e-07,0.420466355702241,0.25,0.088,0.0128824729192461,"4","EDEM1"
"MLLT3.1",5.00819727699603e-07,-1.93062576927149,0.052,0.28,0.0139949064708377,"4","MLLT3"
"ATAD2",5.73424489490066e-07,0.337122627578275,0.271,0.099,0.0160237739343104,"4","ATAD2"
"NUCKS1",5.79005760100041e-07,0.454034380509166,0.323,0.128,0.0161797369602355,"4","NUCKS1"
"TMC6",5.89229697700531e-07,0.376738207915268,0.302,0.115,0.0164654346725436,"4","TMC6"
"ITGA4.2",5.98327178553388e-07,-1.50340666080671,0.188,0.401,0.0167196546774959,"4","ITGA4"
"PHACTR2.3",6.21516127575204e-07,-1.71695848760707,0.104,0.331,0.0173676466689615,"4","PHACTR2"
"ATF7IP2",6.35080508413065e-07,0.454071429597332,0.396,0.168,0.0177466897270947,"4","ATF7IP2"
"MAPK14",6.36358777045035e-07,0.366864809752158,0.354,0.143,0.0177824096657465,"4","MAPK14"
"KDM3B",6.54599704748461e-07,0.400722727292841,0.271,0.1,0.018292134149491,"4","KDM3B"
"EIF4A2",7.05021414235399e-07,0.479508855614535,0.26,0.095,0.019701118399394,"4","EIF4A2"
"IL7R.4",7.06459541071729e-07,-1.85529764489398,0.042,0.268,0.0197413054157084,"4","IL7R"
"AC068282.1",7.1888947924918e-07,0.382460208570311,0.271,0.1,0.0200886476081391,"4","AC068282.1"
"POGZ",7.26797446928759e-07,0.423847553096046,0.323,0.128,0.0203096278569772,"4","POGZ"
"PIK3R5.3",7.46469883746164e-07,-1.92893953786112,0.052,0.274,0.0208593544314028,"4","PIK3R5"
"FNIP1",7.51986767370434e-07,0.357439063344421,0.375,0.154,0.0210135182273994,"4","FNIP1"
"BIRC3",7.90160203247783e-07,0.440074514162836,0.26,0.095,0.022080236719556,"4","BIRC3"
"TSPAN5.1",8.65931709807545e-07,-1.97357807585334,0.062,0.279,0.0241975956988621,"4","TSPAN5"
"DPP8",8.6739570354939e-07,0.455968321913848,0.271,0.102,0.0242385055399842,"4","DPP8"
"SARAF.3",8.99077192650451e-07,-1.9644556984282,0.042,0.258,0.0251238130714242,"4","SARAF"
"KIAA0355",8.99904448475868e-07,0.426616172255391,0.26,0.096,0.0251469299082097,"4","KIAA0355"
"EPS15.1",9.02784755090747e-07,0.465755679276529,0.719,0.352,0.0252274171962558,"4","EPS15"
"AMBRA1",9.18736597833948e-07,0.415557482787759,0.365,0.152,0.0256731754898718,"4","AMBRA1"
"PREX1.2",1.18701552227849e-06,-1.63487359687445,0.135,0.348,0.0331699617545502,"4","PREX1"
"RNF149.1",1.21434961479142e-06,-1.77764657342733,0.083,0.301,0.0339337856357314,"4","RNF149"
