"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC35E1",8.45254376935176e-08,1.13206666209692,0.272,0.097,0.00171637353780457,"14","SLC35E1"
"GTF2A23",8.80063283074319e-08,0.596475009479157,0.533,0.238,0.00178705650261071,"14","GTF2A2"
"DCTN11",8.91115198912719e-08,0.945331929401307,0.435,0.192,0.00180949852291217,"14","DCTN1"
"MIR22HG3",8.96552558860835e-08,1.41679682367375,0.315,0.125,0.00182053962602281,"14","MIR22HG"
"NAPG1",9.02212439750883e-08,0.666684468184169,0.348,0.135,0.00183203258015814,"14","NAPG"
"TMED44",9.29196131818581e-08,0.577549939171241,0.587,0.267,0.00188682566527081,"14","TMED4"
"TXNDC15",9.29610426684208e-08,0.884757136249729,0.25,0.083,0.00188766693242495,"14","TXNDC15"
"MMADHC2",9.36669845364705e-08,0.591518332433811,0.5,0.222,0.00190200178799757,"14","MMADHC"
"PBRM12",9.56713880078159e-08,0.571839293109626,0.609,0.292,0.00194270320488671,"14","PBRM1"
"FAM49B6",9.95330489635108e-08,0.615638421657332,0.87,0.53,0.00202111809225305,"14","FAM49B"
"HMGN13",1.00946039120603e-07,0.630655316164932,0.761,0.528,0.00204981027038296,"14","HMGN1"
"IPO51",1.03779585097726e-07,1.02230131658752,0.38,0.155,0.00210734825499443,"14","IPO5"
"MSL2",1.11646213108275e-07,0.86171389212975,0.478,0.216,0.00226708800337662,"14","MSL2"
"ATP6V1H",1.12498703512302e-07,0.770280772307216,0.446,0.192,0.00228439867352081,"14","ATP6V1H"
"CCT76",1.21548883133136e-07,0.653148451466662,0.63,0.315,0.00246817162090147,"14","CCT7"
"PFDN23",1.21671020085019e-07,0.63803273789784,0.5,0.221,0.0024706517338464,"14","PFDN2"
"SDF2L12",1.24305888305807e-07,0.86680169018708,0.402,0.173,0.00252415536793771,"14","SDF2L1"
"DDT3",1.26646570788339e-07,0.715573409366792,0.652,0.35,0.002571685266428,"14","DDT"
"TMEM242",1.27989154788838e-07,0.773214441665972,0.304,0.112,0.00259894777714214,"14","TMEM242"
"ATP5MD6",1.28815553442875e-07,0.618444814337608,0.739,0.465,0.00261572862821102,"14","ATP5MD"
"RBIS4",1.2901475241605e-07,0.624041892654914,0.652,0.329,0.00261977356256031,"14","RBIS"
"TMED72",1.30086969394711e-07,0.742211303618346,0.37,0.145,0.00264154600052899,"14","TMED7"
"IRF2BPL",1.31322038092328e-07,0.993037128963614,0.337,0.133,0.00266662530550282,"14","IRF2BPL"
"OXR13",1.31502386661142e-07,0.759304721477101,0.446,0.194,0.00267028746354114,"14","OXR1"
