"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UTRN",3.30799027644072e-157,0.784731531362021,0.349,0.194,8.7142387852278e-153,"1","UTRN"
"PTCHD1",4.83610012077859e-155,1.09952249979843,0.26,0.131,1.2739738548167e-150,"1","PTCHD1"
"AFF1",8.643730415151e-154,1.0015135272508,0.454,0.33,2.27701790326323e-149,"1","AFF1"
"SLC35F1",1.48913081375409e-153,0.642245915200796,0.618,0.459,3.92281730267241e-149,"1","SLC35F1"
"TOX",2.46280877701775e-153,0.727354558789307,0.514,0.339,6.48777716129787e-149,"1","TOX"
"TLE1",7.46448644715088e-148,0.997182090101552,0.308,0.175,1.96636966477296e-143,"1","TLE1"
"PMP221",5.63354647730056e-147,0.68864811708288,0.27,0.124,1.48404514851529e-142,"1","PMP22"
"ADAMTS17",1.31221994310012e-146,0.843146997400006,0.298,0.152,3.45678099610865e-142,"1","ADAMTS17"
"MFAP3L1",2.01672843853606e-146,0.941520951216786,0.377,0.232,5.31266772563554e-142,"1","MFAP3L"
"ATP2B4",2.55837951381188e-146,1.0061222783343,0.496,0.388,6.73953915323463e-142,"1","ATP2B4"
"DOK5",1.04107269019371e-141,1.00274887768859,0.295,0.164,2.7424977877773e-137,"1","DOK5"
"PHACTR31",1.61404111341282e-140,0.84211998347804,0.591,0.526,4.25186850506339e-136,"1","PHACTR3"
"FAM171B",3.15079034478014e-136,1.08473732028876,0.485,0.411,8.30012700525433e-132,"1","FAM171B"
"MGAT4C",2.05600308132087e-134,0.684404995939553,0.506,0.348,5.41612891712355e-130,"1","MGAT4C"
"FERMT2",2.23522167767258e-134,0.857222907578577,0.295,0.159,5.88824446549288e-130,"1","FERMT2"
"AQP4-AS1",6.72685774348987e-133,1.4433779456664,0.412,0.298,1.77205613536754e-128,"1","AQP4-AS1"
"MAOB",7.22211989918566e-129,1.38171429434333,0.301,0.185,1.90252304504248e-124,"1","MAOB"
"EPHB1",8.52079323579833e-128,1.13293768850447,0.373,0.261,2.24463256210635e-123,"1","EPHB1"
"RNF19A",1.49024985553835e-126,1.27362482633487,0.412,0.314,3.92576519444467e-122,"1","RNF19A"
"SCD51",4.21723325864999e-124,0.630057402539084,0.63,0.556,1.11094575732617e-119,"1","SCD5"
"WASF3",1.36714151474994e-123,1.0313446067884,0.342,0.224,3.60146089230578e-119,"1","WASF3"
"ALDH7A1",1.60556372578068e-123,0.901537916585181,0.252,0.132,4.22953652282406e-119,"1","ALDH7A1"
"DPYSL21",1.76524927681599e-118,0.714437162399886,0.657,0.646,4.65019616991637e-114,"1","DPYSL2"
"JARID2",5.78296037401634e-116,0.950789831957323,0.494,0.43,1.52340525132712e-111,"1","JARID2"
"CECR21",1.75054818649692e-115,0.582429698631805,0.273,0.137,4.61146908768883e-111,"1","CECR2"
"PPFIA1",2.90887147910009e-114,1.09660529331982,0.399,0.3,7.66284013739338e-110,"1","PPFIA1"
"SLC27A11",3.53379905654197e-111,0.894255014651886,0.354,0.233,9.30908685464851e-107,"1","SLC27A1"
"GABBR1",6.71587049085099e-110,1.08553839787652,0.411,0.325,1.76916176340488e-105,"1","GABBR1"
"REPS1",2.80148944319525e-109,1.01579735170342,0.453,0.385,7.37996364020924e-105,"1","REPS1"
"HTRA11",2.92986120617339e-104,0.547873630766234,0.345,0.202,7.71813337542256e-100,"1","HTRA1"
"CHST11",1.29310509543298e-103,0.344531582346652,0.454,0.318,3.40642675289911e-99,"1","CHST11"
"GAREM1",3.42724934698517e-103,0.857804675303325,0.459,0.367,9.02840295476304e-99,"1","GAREM1"
"CPEB4",4.0192701378322e-103,0.712385576636546,0.613,0.609,1.05879633240914e-98,"1","CPEB4"
"NADK2",6.2623890010551e-102,0.934415663227511,0.271,0.166,1.64970113454794e-97,"1","NADK2"
"C1orf21",1.48279520498929e-101,0.970128343939891,0.465,0.4,3.90612740850329e-97,"1","C1orf21"
"ARHGEF12",2.56405019839861e-98,0.759668956467478,0.565,0.536,6.75447743764145e-94,"1","ARHGEF12"
"BAZ2B1",3.63811116680212e-97,0.635404497505669,0.601,0.575,9.58387624670683e-93,"1","BAZ2B"
"FNDC3B",8.50525883859926e-97,0.824238257615242,0.374,0.269,2.2405403358522e-92,"1","FNDC3B"
"DDX171",7.5779508654302e-96,0.547836657651081,0.666,0.69,1.99625959648028e-91,"1","DDX17"
"B4GALNT4",8.93073725148164e-96,0.995326522169498,0.299,0.197,2.35262411415781e-91,"1","B4GALNT4"
"TPCN1",2.81640327223381e-94,0.857272823505534,0.29,0.185,7.41925114004553e-90,"1","TPCN1"
"LINC00461",4.48609059948189e-94,0.901838684799654,0.49,0.44,1.18177084662151e-89,"1","LINC00461"
"IQCA1",4.62703750677052e-93,1.10786341834088,0.273,0.177,1.21890049040856e-88,"1","IQCA1"
"CYB5B",8.6799521825782e-93,1.24285451469082,0.312,0.218,2.28655980345658e-88,"1","CYB5B"
"ADCY8",1.63036954907651e-91,0.852939489291749,0.263,0.156,4.29488250313224e-87,"1","ADCY8"
"ARHGEF101",2.9705667247859e-90,0.636850824762505,0.288,0.172,7.8253639231035e-86,"1","ARHGEF10"
"KIAA1671",1.50699929771093e-89,1.04243636919442,0.331,0.242,3.96988824995991e-85,"1","KIAA1671"
"SYNE1",6.33815225070417e-89,0.587073050347134,0.648,0.595,1.669659447403e-84,"1","SYNE1"
"LPIN1",1.38430271278934e-87,1.01625321445289,0.355,0.272,3.64666863630096e-83,"1","LPIN1"
"FP236383.31",4.70636513608254e-85,0.525822299612348,0.803,0.814,1.23979776779822e-80,"1","FP236383.3"
"AC245297.31",6.07793252940611e-84,0.751946829113256,0.473,0.397,1.60110976622145e-79,"1","AC245297.3"
"RALGAPA2",3.41759180655928e-83,0.897344496116113,0.457,0.401,9.00296209601911e-79,"1","RALGAPA2"
"ASAP2",1.28667727496061e-82,0.842500726101068,0.35,0.262,3.38949394542874e-78,"1","ASAP2"
"ANK2",1.93141446004524e-82,0.418975138189544,0.852,0.839,5.08792511209718e-78,"1","ANK2"
"CPQ1",1.86990007537146e-81,0.38200750368433,0.398,0.264,4.92587776855104e-77,"1","CPQ"
"IRS2",3.26478381360717e-81,0.887782947173206,0.412,0.342,8.60042000018537e-77,"1","IRS2"
"NFE2L21",4.5601687089774e-81,0.651013604959085,0.333,0.227,1.20128524300592e-76,"1","NFE2L2"
"ADGRL3",3.59004455448403e-80,0.340743143074923,0.844,0.758,9.45725436987728e-76,"1","ADGRL3"
"AK31",3.0342853778741e-79,0.78449940711463,0.321,0.226,7.99321797093373e-75,"1","AK3"
"GNAQ",5.49031215444981e-79,0.44947591470261,0.689,0.716,1.44631293084671e-74,"1","GNAQ"
"LRP1",1.03028149507242e-77,0.909276515671451,0.343,0.259,2.71407054246928e-73,"1","LRP1"
"GPM6B1",1.4783224810085e-75,0.278977276471759,0.723,0.718,3.8943449117207e-71,"1","GPM6B"
"ITGB81",1.21227743461021e-74,0.701870896915764,0.391,0.297,3.19350244599369e-70,"1","ITGB8"
"CTDSPL",2.31707373153083e-74,0.897284224375906,0.451,0.408,6.10386733097167e-70,"1","CTDSPL"
"AKAP13",2.79733020946979e-74,0.695184445031199,0.344,0.251,7.36900697080627e-70,"1","AKAP13"
"ZSWIM61",3.15221725424256e-72,0.400262054144004,0.684,0.697,8.30388591285118e-68,"1","ZSWIM6"
"STAT3",1.47885226611247e-70,0.733844305545118,0.319,0.226,3.89574052462008e-66,"1","STAT3"
"TRIM9",4.04518307247516e-70,0.534600065767783,0.664,0.64,1.06562257678213e-65,"1","TRIM9"
"APC2",4.51601684212419e-70,0.962667032184247,0.261,0.179,1.18965431672078e-65,"1","APC2"
"DPF3",2.50361488225422e-69,0.720826243135657,0.294,0.198,6.59527268432229e-65,"1","DPF3"
"MTUS11",9.64878874976379e-69,0.354871613089116,0.399,0.274,2.54178042035028e-64,"1","MTUS1"
"RAD51B1",2.67971106680201e-68,0.519188349236108,0.369,0.263,7.05916286327654e-64,"1","RAD51B"
"STARD131",1.97071023752578e-67,0.60056148902024,0.499,0.44,5.19144197871415e-63,"1","STARD13"
"OGFRL1",1.11027364051973e-65,0.882722294390644,0.313,0.238,2.92479385122112e-61,"1","OGFRL1"
"NAALADL21",1.17588469660468e-65,0.685049605876905,0.42,0.34,3.09763305626571e-61,"1","NAALADL2"
"RGL1",1.64585878850449e-65,0.801718772338349,0.506,0.492,4.33568580655738e-61,"1","RGL1"
"DENND1A",2.85089498762181e-63,0.634573888997781,0.552,0.561,7.51011266589212e-59,"1","DENND1A"
"ENO1",2.87177023319367e-63,0.784824665376764,0.28,0.202,7.56510432530209e-59,"1","ENO1"
"ABI1",3.47850808383255e-63,0.818772211538684,0.421,0.379,9.16343384524007e-59,"1","ABI1"
"ACSL6",4.3464883585478e-63,0.968611404058443,0.334,0.271,1.14499542829225e-58,"1","ACSL6"
"SLC24A3",2.80564670389756e-62,0.457852874823693,0.259,0.159,7.39091511207733e-58,"1","SLC24A3"
"SH3RF11",3.35590653448448e-62,0.584671567437271,0.351,0.26,8.84046458379248e-58,"1","SH3RF1"
"HS2ST1",2.07145811488025e-59,0.876041358192033,0.417,0.38,5.45684211202904e-55,"1","HS2ST1"
"GNA12",7.0534125413315e-57,0.841535292255769,0.296,0.225,1.85808046576296e-52,"1","GNA12"
"RFX3",3.58977725159907e-56,0.517499523548082,0.619,0.61,9.45655021388743e-52,"1","RFX3"
"ARID1A1",3.74083088651634e-56,0.755512739666311,0.405,0.353,9.85447080434999e-52,"1","ARID1A"
"KATNAL2",3.81752792944497e-56,0.796859388500633,0.253,0.179,1.00565138245369e-51,"1","KATNAL2"
"ZFAND6",8.6925797558165e-56,0.630729076605892,0.261,0.181,2.28988628507474e-51,"1","ZFAND6"
"FAM171A11",3.0058127279615e-55,0.76650658377005,0.481,0.469,7.91821246926899e-51,"1","FAM171A1"
"EFR3B",5.00206427012994e-55,0.802221327010128,0.32,0.253,1.31769379068033e-50,"1","EFR3B"
"CTSD",2.63387175818861e-54,0.788173795205276,0.331,0.263,6.93840837259625e-50,"1","CTSD"
"DKK3",3.83769965451093e-54,0.799603348775457,0.422,0.384,1.01096521998781e-49,"1","DKK3"
"SLC9A91",8.11590852435001e-54,0.292417754256583,0.495,0.394,2.13797378256952e-49,"1","SLC9A9"
